match_id,participant_id,participant_name
ESPORTSTMNT01_3416429,1,Kingen
ESPORTSTMNT01_3416429,2,Grizzly
ESPORTSTMNT01_3416429,3,Zeka
ESPORTSTMNT01_3416429,4,Viper
ESPORTSTMNT01_3416429,5,Life
ESPORTSTMNT01_3416429,6,Kiin
ESPORTSTMNT01_3416429,7,Cuzz
ESPORTSTMNT01_3416429,8,Bdd
ESPORTSTMNT01_3416429,9,Aiming
ESPORTSTMNT01_3416429,10,Lehends
ESPORTSTMNT01_3416476,1,Canna
ESPORTSTMNT01_3416476,2,Canyon
ESPORTSTMNT01_3416476,3,ShowMaker
ESPORTSTMNT01_3416476,4,Deft
ESPORTSTMNT01_3416476,5,Kellin
ESPORTSTMNT01_3416476,6,Rascal
ESPORTSTMNT01_3416476,7,Croco
ESPORTSTMNT01_3416476,8,FATE
ESPORTSTMNT01_3416476,9,Paduck
ESPORTSTMNT01_3416476,10,BeryL
ESPORTSTMNT01_3416533,1,Kingen
ESPORTSTMNT01_3416533,2,Grizzly
ESPORTSTMNT01_3416533,3,Zeka
ESPORTSTMNT01_3416533,4,Viper
ESPORTSTMNT01_3416533,5,Life
ESPORTSTMNT01_3416533,6,Canna
ESPORTSTMNT01_3416533,7,Canyon
ESPORTSTMNT01_3416533,8,ShowMaker
ESPORTSTMNT01_3416533,9,Deft
ESPORTSTMNT01_3416533,10,Kellin
ESPORTSTMNT01_3416553,1,Canna
ESPORTSTMNT01_3416553,2,Canyon
ESPORTSTMNT01_3416553,3,ShowMaker
ESPORTSTMNT01_3416553,4,Deft
ESPORTSTMNT01_3416553,5,Kellin
ESPORTSTMNT01_3416553,6,Kingen
ESPORTSTMNT01_3416553,7,Grizzly
ESPORTSTMNT01_3416553,8,Zeka
ESPORTSTMNT01_3416553,9,Viper
ESPORTSTMNT01_3416553,10,Life
ESPORTSTMNT01_3417308,1,Kiin
ESPORTSTMNT01_3417308,2,Cuzz
ESPORTSTMNT01_3417308,3,Bdd
ESPORTSTMNT01_3417308,4,Aiming
ESPORTSTMNT01_3417308,5,Lehends
ESPORTSTMNT01_3417308,6,Kingen
ESPORTSTMNT01_3417308,7,Grizzly
ESPORTSTMNT01_3417308,8,Zeka
ESPORTSTMNT01_3417308,9,Viper
ESPORTSTMNT01_3417308,10,Life
ESPORTSTMNT01_3417324,1,Kingen
ESPORTSTMNT01_3417324,2,Grizzly
ESPORTSTMNT01_3417324,3,Zeka
ESPORTSTMNT01_3417324,4,Viper
ESPORTSTMNT01_3417324,5,Life
ESPORTSTMNT01_3417324,6,Kiin
ESPORTSTMNT01_3417324,7,Cuzz
ESPORTSTMNT01_3417324,8,Bdd
ESPORTSTMNT01_3417324,9,Aiming
ESPORTSTMNT01_3417324,10,Lehends
ESPORTSTMNT01_3417325,1,Kiin
ESPORTSTMNT01_3417325,2,Cuzz
ESPORTSTMNT01_3417325,3,Bdd
ESPORTSTMNT01_3417325,4,Aiming
ESPORTSTMNT01_3417325,5,Lehends
ESPORTSTMNT01_3417325,6,Kingen
ESPORTSTMNT01_3417325,7,Grizzly
ESPORTSTMNT01_3417325,8,Zeka
ESPORTSTMNT01_3417325,9,Viper
ESPORTSTMNT01_3417325,10,Life
ESPORTSTMNT01_3417376,1,Rascal
ESPORTSTMNT01_3417376,2,Croco
ESPORTSTMNT01_3417376,3,FATE
ESPORTSTMNT01_3417376,4,Paduck
ESPORTSTMNT01_3417376,5,BeryL
ESPORTSTMNT01_3417376,6,Canna
ESPORTSTMNT01_3417376,7,Canyon
ESPORTSTMNT01_3417376,8,ShowMaker
ESPORTSTMNT01_3417376,9,Deft
ESPORTSTMNT01_3417376,10,Kellin
ESPORTSTMNT01_3417429,1,Kingen
ESPORTSTMNT01_3417429,2,Grizzly
