match_id,blue_team_full_name,red_team_full_name,win,start_time,gamelength,game,league,year
ESPORTSTMNT03_2701896,T1,Saigon Buffalo,blue,2022-05-10 07:29:00+08,1563,1,MSI,2022
ESPORTSTMNT03_2701916,Team Aze,DetonatioN FocusMe,red,2022-05-10 08:39:16+08,1594,1,MSI,2022
ESPORTSTMNT03_2701926,ORDER,G2 Esports,red,2022-05-10 09:34:31+08,1574,1,MSI,2022
ESPORTSTMNT03_2701947,Evil Geniuses,G2 Esports,red,2022-05-10 10:34:58+08,1892,1,MSI,2022
ESPORTSTMNT03_2701960,İstanbul Wildcats,Royal Never Give Up,red,2022-05-10 11:34:02+08,1345,1,MSI,2022
ESPORTSTMNT03_2701969,RED Canids,TALON,blue,2022-05-10 12:21:57+08,1681,1,MSI,2022
ESPORTSTMNT03_2702188,G2 Esports,Evil Geniuses,blue,2022-05-11 07:33:43+08,2305,1,MSI,2022
ESPORTSTMNT03_2702213,Evil Geniuses,ORDER,blue,2022-05-11 09:15:00+08,2288,1,MSI,2022
ESPORTSTMNT03_2702221,DetonatioN FocusMe,Saigon Buffalo,red,2022-05-11 10:29:00+08,2149,1,MSI,2022
ESPORTSTMNT03_2702237,Team Aze,T1,red,2022-05-11 11:32:00+08,1245,1,MSI,2022
ESPORTSTMNT03_2702250,İstanbul Wildcats,RED Canids,blue,2022-05-11 12:19:00+08,1702,1,MSI,2022
ESPORTSTMNT03_2702268,Royal Never Give Up,TALON,blue,2022-05-11 13:14:00+08,1690,1,MSI,2022
ESPORTSTMNT03_2712519,ORDER,Evil Geniuses,red,2022-05-12 07:12:26+08,1470,1,MSI,2022
ESPORTSTMNT03_2712560,G2 Esports,ORDER,blue,2022-05-12 08:43:44+08,1471,1,MSI,2022
ESPORTSTMNT03_2712572,TALON,İstanbul Wildcats,blue,2022-05-12 09:32:14+08,1403,1,MSI,2022
ESPORTSTMNT03_2712590,Royal Never Give Up,RED Canids,blue,2022-05-12 10:50:42+08,1671,1,MSI,2022
ESPORTSTMNT03_2712597,Saigon Buffalo,Team Aze,blue,2022-05-12 11:26:32+08,1239,1,MSI,2022
ESPORTSTMNT03_2712615,T1,DetonatioN FocusMe,blue,2022-05-12 12:13:51+08,1482,1,MSI,2022
ESPORTSTMNT03_2712837,TALON,RED Canids,blue,2022-05-13 05:31:16+08,1666,1,MSI,2022
ESPORTSTMNT03_2712861,Royal Never Give Up,İstanbul Wildcats,blue,2022-05-13 06:47:12+08,1396,1,MSI,2022
ESPORTSTMNT03_2712868,İstanbul Wildcats,TALON,red,2022-05-13 07:32:36+08,1976,1,MSI,2022
ESPORTSTMNT03_2712878,RED Canids,Royal Never Give Up,red,2022-05-13 08:29:25+08,1233,1,MSI,2022
ESPORTSTMNT03_2712881,RED Canids,İstanbul Wildcats,blue,2022-05-13 09:18:48+08,1798,1,MSI,2022
ESPORTSTMNT03_2712884,TALON,Royal Never Give Up,red,2022-05-13 10:14:01+08,2009,1,MSI,2022
ESPORTSTMNT03_2713042,Evil Geniuses,G2 Esports,red,2022-05-14 05:19:15+08,2358,1,MSI,2022
ESPORTSTMNT03_2713059,Evil Geniuses,ORDER,blue,2022-05-14 07:04:02+08,1420,1,MSI,2022
ESPORTSTMNT03_2713067,G2 Esports,ORDER,blue,2022-05-14 07:55:24+08,1573,1,MSI,2022
ESPORTSTMNT03_2713110,G2 Esports,Evil Geniuses,blue,2022-05-14 08:44:49+08,2090,1,MSI,2022
ESPORTSTMNT03_2713123,ORDER,Evil Geniuses,red,2022-05-14 09:47:55+08,1390,1,MSI,2022
